PRFID,PRFNM,PRFPDFROM,PRFPDTO,D_DAY,PRFCAST,PRFCREW,PRFRUNTIME,PRFAGE,ENTRPSNM,PCSEGUIDANCE,POSTER,RELATES,PLACEID,PLACENM_x,INFO_URLS,7DAYS RANK,PLACENM_y,SI DO,GU GUN,ADRES,TELNO,RELATE URL,RESTAURANT,CAFE,STORE,NOLIBANG,PARK BARRIER,REST BARRIER,ELEV BARRIER,PARKINGLOT
PF245081,인어공주 [서울 금천],2024.07.20,2024.08.18,5, , ,55분,24개월 이상, ,"전석 16,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245081_240716_144105.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/264373')]",FC001565,레미어린이극장 [금천] (레미어린이극장 [금천]),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245081_240716_0241050.jpg'],,,,,서울특별시 금천구 두산로 71 (독산동),02-868-5961,http://www.reomusical.com/new/main/main.htm,,,,,,,,
PF245079,백설공주 [대전],2024.07.18,2024.08.18,5, , ,1시간,전체 관람가, ,"전석 16,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245079_240716_142328.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/264422')]",FC001691,조이마루아트홀(복합문화공간 플랜에이) (조이마루아트홀(복합문화공간 플랜에이)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245079_240716_0223280.jpg'],,,,,대전광역시 유성구 엑스포로97번길 40 (도룡동),042-862-2221,https://plana2021.modoo.at/,,,,,,,,
PF244986,인어공주 [광주],2024.07.25,2024.08.24,11,"김호겸, 조연우, 김우리, 최준서, 이영재, 김슬기, 김효경 등", ,55분,전체 관람가, ,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244986_240715_154939.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/263658')]",FC001678,레미어린이극장 [광주수완] (레미어린이극장 [광주수완]),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244986_240715_0349390.png'],,,,,광주광역시 광산구 장신로 98 (장덕동),062-975-2860,http://www.reomusical.com/new/main/main.htm?CPC_REFERER=https%3A%2F%2Fsearch.naver.com%2Fsearch.naver%3Fwhere%3Dnexearch%26sm%3Dtop_sug.pre%26fbm%3D1%26acr%3D1%26acq%3D%2,,,,,,,,
PF244959,아기돼지삼형제: 늑대숲 또옹돼지 원정대 [대학로],2024.07.20,2024.08.31,18, , ,1시간,24개월 이상,지니아트랩,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244959_240715_162353.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/153307'), ('예스24', 'http://ticket.yes24.com/Perf/50300'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009893'), ('쿠팡', 'https://trip.coupang.com/tp/products/30000000687074'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5481'), ('티켓링크', 'http://www.ticketlink.co.kr/product/50961')]",FC004018,라온씨어터 (라온씨어터),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244959_240715_0154583.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244959_240715_0154582.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244959_240715_0154581.jpg']",,,,,서울특별시 종로구 대학로10길 12 (동숭동) 3층, , ,,,,,,,,
PF244769,메리골드 [대학로],2024.08.08,2024.08.18,5,"선창용, 박웅서, 이영록, 전병혁, 손수아, 강한별, 신혜선 등","신경혜, 김윤규, 김정민 등",1시간 50분,만 10세 이상,극단 비유,"전석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244769_240711_122139.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009871')]",FC000516,열린극장 (열린극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244769_240711_1221390.jpg'],,,,,서울특별시 종로구 창경궁로 258-12 (명륜2가),02-743-6474, ,,,,,,,,
PF244530,연남장 캬바레: 김려원의 ON-LY A ONE,2024.07.29,2024.08.31,18,김려원,"김태형, 장우성, 최수정",1시간 30분,만 13세 이상, ,"전석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244530_240708_144308.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009735')]",FC002037,연남장 (연남장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244530_240708_0243081.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244530_240708_0243080.jpg']",,,,,서울특별시 서대문구 연희로5길 22 (연희동),070-4250-7979,https://www.yeonnamjang.com/,,,,,,,,
PF244405,스텝: 춤추는 발자국,2024.04.22,2024.12.31,140,"이은혜, 정윤아, 양석진, 김동환, 김태연 등","오준석, 최용진, 정석봉 등",1시간 10분,전체 관람가, ,"VIP석 40,000원, R석 36,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244405_240705_105539.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1187903')]",FC000883,명보아트홀 (다온홀(B1F)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244405_240806_0534431.png'],,,,,서울특별시 중구 마른내로 47 (초동),02-2274-2121,https://www.facebook.com/myungboart,,,,,,,,
PF244311,아기 돼지 삼형제 [창원],2024.07.01,2024.08.31,18, , ,45분,24개월 이상,극단 보물섬,"전석 25,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244311_240704_102916.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1176390')]",FC003783,스파더스페이스 (공연장(4F)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244311_240704_1029160.png'],,,,,경상남도 창원시 마산합포구 구산면 유산군령로 250, , ,,,,,,,,
PF244127,이쇼 with 연남장 캬바레,2024.07.15,2024.08.26,13, , ,2시간 30분,만 14세 이상, ,"전석 44,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244127_240702_093945.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009346')]",FC002037,연남장 (연남장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244127_240702_0939450.jpg'],,,,,서울특별시 서대문구 연희로5길 22 (연희동),070-4250-7979,https://www.yeonnamjang.com/,,,,,,,,
PF243956,빨강머리 토리: 토리의 수상한 가방 [수원],2024.07.17,2024.09.29,47, , ,50분,24개월 이상,극단 꿈의 공작소,"전석 25,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243956_240628_102135.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1183999'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009229')]",FC000926,KBS 수원아트홀 (KBS 수원아트홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243956_240628_1021350.jpg'],,KBS 수원아트홀,경기,수원시,경기도 수원시 팔달구 인계로 123 (인계동),031-216-5201,http://www.kbssuwonart.co.kr/,,,,,,,,
PF243947,흔해빠진 일,2024.07.27,2024.08.18,5,"강인수, 조모세, 길하은, 신가은, 이한솔, 김도하, 최지우 등","양문수, 장지영, 김기연 등",2시간 35분,만 13세 이상,(주)얄랄라이,"VIP석 88,000원, R석 77,000원, S석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243947_240628_093942.gif,"[('LG아트센터', 'https://www.lgart.com/product/performance/252861'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=L0000091')]",FC003045,LG아트센터 서울 (U+ 스테이지),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243947_240628_0939422.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243947_240628_0939421.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243947_240628_0939420.jpg']",,LG아트센터 서울,서울,강서구,서울특별시 강서구 마곡중앙로 136(마곡동),00-1661-0017,https://www.lgart.com/Home/Main,,,,,,,,
PF243901,넌 특별하단다 [서울],2024.08.03,2024.08.18,5,"신영주, 민병욱, 배혜미, 백나라, 정은영, 박현석, 박청용 등","홍경숙, 노혜란, 이다희 등",1시간,36개월 이상,아트컴퍼니 행복자,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243901_240627_111808.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1182104'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008670'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5716'), ('티몬', 'https://www.tmon.co.kr/deal/27021068510')]",FC001428,한국콘텐츠진흥원 CKL스테이지 (한국콘텐츠진흥원 CKL스테이지),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243901_240627_1118080.jpg'],,,,,서울특별시 중구 청계천로 40,02-6441-3951,https://venture.ckl.or.kr/stage/main.do,,,,,,,,
PF243886,홍련,2024.07.30,2024.08.31,18,"한재아, 김이후, 홍나현, 이아름솔, 김경민, 이지연, 고상호 등","배시현, 박신애, 옥한나 등",1시간 30분,만 13세 이상,(주)마틴엔터테인먼트,"R석 66,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243886_240627_102941.gif,"[('대학로티켓닷컴', 'http://www.maketicket.co.kr/ticket/GD25694'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009039')]",FC000785,대학로 자유극장 (자유문화발전소) (대학로 자유극장 (자유문화발전소)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243886_240627_1029410.jpg'],20.428571428571427,,,,서울특별시 종로구 대학로12길 31 (동숭동),02-743-0661, ,,,,,,,,
PF243842,앤서니 브라운의 난 책이 좋아요,2024.08.03,2024.09.14,32, ,"김명훈, 서희정, 김온 등",1시간,24개월 이상, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243842_240626_144827.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1183574'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008882'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5732')]",FC002894,북아현아트홀 (북아현아트홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243842_240626_0248270.jpg'],,,,,서울특별시 서대문구 북아현로 51(북아현동),02-360-8663,https://www.sscmc.or.kr/culture3/,,,,,,,,
PF243763,비밀의 화원,2024.08.01,2024.09.22,40,"김청아, 이금조, 김서환, 정백선, 박선영, 김지혜, 송영미 등","이기쁨, 이성준, 강하님 등",1시간 40분,만 7세 이상,(재)국립정동극장,"전석 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243763_240626_100120.gif,"[('BC페이북(BC플랫폼)', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70924'), ('나눔티켓', 'https://www.nanumticket.or.kr/pe/detail.html?p_marking=&p_new=&start2=0&page_no2=1&p_idx=12397'), ('위메프', 'https://ticket.wemakeprice.com/product/3000012154'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008917'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77960'), ('코스타', 'https://ticket.co-star.kr/shop/item.php?it_id=1719477556')]",FC000006,국립정동극장 (국립정동극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243763_240626_1001210.jpg'],32.857142857142854,,,,서울특별시 중구 정동길 43 (정동),02-751-1500,http://www.jeongdong.or.kr,,,,,,,,
PF243627,스파이,2024.08.06,2024.10.27,75,"성태준, 정동화, 원태민, 현석준, 이진우, 최병찬, 강정임 등","라현아, 박신혜, 한지안 등",2시간,만 13세 이상,미스틱컬처,"한줄기의빛석 70,000원, 스파이더맨인블랙석 60,000원, 로마의대체휴일석 50,000원, 미션임파서블드림석 40,000원, 티파니에서야참을석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243627_240624_142345.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009007')]",FC000570,동국대학교 (이해랑예술극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243627_240624_0223451.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243627_240624_0223450.jpg']",,,,,서울특별시 중구 필동로1길 30 (필동3가),02-2260-8901,http://www.xn--3i0by5pyxij4d72bsi666f.com/,,,,,,,,
PF243362,접변 [대학로],2024.07.20,2024.09.22,40,"임찬민, 송지온, 정우연, 양서윤, 전해주, 전하영, 윤정섭 등","이기쁨, 한곤, 최종혁 등",1시간 40분,만 13세 이상,"네버엔딩플레이(N.E.P Contents), 포커스테이지","R석 66,000원, S석 55,000원, A석 44,000원, 시야제한석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243362_240620_093509.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008373')]",FC000382,티오엠씨어터(구. 문화공간필링) (2관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243362_240620_0935090.jpg'],37.0,,,,서울특별시 종로구 대학로8가길 85 (동숭동),00-1544-8303,http://www.towntom.com/,,,,,,,,
PF243273,"종로 가족공연축제, 달님이 주신 아이",2024.08.09,2024.08.17,4,"이새롬, 강나리, 박하나, 서인권, 박상연","민찬홍, 홍성연, 한승훈 등",1시간,36개월 이상,창작꿈터 놀이공장,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243273_240619_094001.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008446')]",FC001435,종로아이들극장 (종로아이들극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243273_240619_0940013.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243273_240619_0940012.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243273_240619_0940011.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243273_240619_0940010.jpg']",,,,,서울특별시 종로구 성균관로 91 - 0 국민생활관,02-2088-4290,https://jct.jfac.or.kr/site/child/home,,,,,,,,
PF243215,알라딘 [인천],2024.07.27,2024.08.15,2, , ,55분,전체 관람가, ,"전석 22,900원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243215_240618_103526.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1177716')]",FC001927,아띠홀 (아띠홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243215_240619_0859201.jpeg'],,,,,인천광역시 서구 청라에메랄드로 99 (청라동),032-623-4222,https://attihall.modoo.at/,,,,,,,,
PF243081,유진과 유진 [대학로],2024.07.06,2024.09.22,40,"최태이, 오유민, 전혜주, 유주혜, 강혜인, 이한별","김솔지, 이기쁨, 양지해 등",1시간 40분,만 10세 이상,낭만바리케이트,"유진석 65,000원, 소라석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243081_240617_100852.gif,"[('BC페이북(BC플랫폼)', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70936'), ('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1196080'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008248'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=78011'), ('티켓링크', 'https://www.ticketlink.co.kr/product/51222')]",FC001528,링크아트센터드림 (드림 4관),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243081_240806_0116182.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243081_240806_0116181.jpg']",42.0,,,,서울특별시 종로구 동숭길 123 (동숭동),02-3481-8843,http://blog.naver.com/dreamartcenter,,,,,,,,
PF243001,캐치! 티니핑: 두근두근 싱어롱 콘서트! [서울 (앵콜) ],2024.08.01,2024.08.18,5,"박정윤, 이아영, 안정현, 유현주, 박희민, 최현진, 김혜경 등","홍승희, 김한솔, 박상우 등",1시간 05분,24개월 이상,"(주)쇼노트, (주)에스에이엠지엔터테인먼트(SAMG엔터테인먼트), (주)이캐슬, (주)하늘이엔티","R석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243001_240614_094817.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1178141'), ('멜론티켓', 'https://ticket.melon.com/performance/index.htm?prodId=209990'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008303')]",FC001799,이화여자대학교 삼성홀 (이화여자대학교 삼성홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243001_240614_0948170.jpg'],,,,,서울특별시 서대문구 이화여대길 52 (대현동),02-6380-4430,http://samsunghall.ticketlink.co.kr/,,,,,,,,
PF242984,인피니티 플라잉 (INFINITY FLYING) [경주],2024.06.13,2024.08.31,18,"황근생, 이영주, 김승혜, 박민혜","최철기, 김진홍, 임중석 등",1시간 20분,36개월 이상,(주)페르소나 경주플라잉,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242984_240613_152220.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/153378')]",FC001081,경주세계문화엑스포 (문화센터공연장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322204.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322203.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322202.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322201.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242984_240613_0322200.jpg']",,경주세계문화엑스포,경북,경주시,경상북도 경주시 경감로 614 (천군동),054-748-3011,http://www.cultureexpo.or.kr/open.content/ko/,,,,,,,,
PF242932,시데레우스,2024.07.24,2024.10.13,61,"이창용, 안재영, 김지철, 기세중, 정휘, 윤석호, 유낙원 등","신동은, 백승우, 이유정 등",1시간 40분,만 7세 이상,(주)랑,"R석 66,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242932_240613_112051.jpg,"[('BC페이북(BC플랫폼)', 'https://ticket.paybooc.co.kr:447/Play/PlayDetail?playNum=70935'), ('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1178225'), ('예스24', 'http://ticket.yes24.com/Perf/50004'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008243'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=78010')]",FC001459,플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터) (플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242932_240613_1120510.jpg'],14.571428571428571,,,,서울특별시 종로구 대학로12길 73 (동숭동),02-731-9199, ,,,,,,,,
PF242849,구름빵 [서울 광진구],2024.08.01,2024.08.25,12, , ,50분,전체 관람가, ,"전석 35,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF242849_240612_130803.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/787665'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008152')]",FC001462,상상나라극장 (상상나라극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF242849_240612_0108030.jpg'],,,,,서울특별시 광진구 능동로 216 (능동),02-456-0116, ,,,,,,,,
