PRFID,PRFNM,PRFPDFROM,PRFPDTO,D_DAY,PRFCAST,PRFCREW,PRFRUNTIME,PRFAGE,ENTRPSNM,PCSEGUIDANCE,POSTER,RELATES,PLACEID,PLACENM_x,INFO_URLS,7DAYS RANK,PLACENM_y,SI DO,GU GUN,ADRES,TELNO,RELATE URL,RESTAURANT,CAFE,STORE,NOLIBANG,PARK BARRIER,REST BARRIER,ELEV BARRIER,PARKINGLOT
PF246145,오즈의 마법사 [수원],2024.09.01,2024.09.01,0, , ,1시간,전체 관람가, ,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF246145_240801_102913.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1207583'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010889'), ('티켓링크', 'http://www.ticketlink.co.kr/product/51235')]",FC000550,수원청소년문화센터 (온누리아트홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246145_240801_1029130.jpg'],,,,,경기도 수원시 팔달구 권광로 293 (인계동),031-218-0400,http://www.syf.or.kr/web/page.do?menuIdx=358,,,,,,,,
PF246143,라푼젤 [포항],2024.09.01,2024.09.01,0, , ,1시간,전체 관람가, ,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF246143_240801_102555.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1207662'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010934'), ('티켓링크', 'http://www.ticketlink.co.kr/product/51239')]",FC001191,포항문화예술회관 (대공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246143_240801_1025560.jpg'],,,,,경상북도 포항시 남구 희망대로 850 (대도동),054-289-7999,https://culturalspace.phcf.or.kr/munhwaArtCenter/subMain.do,,,,,,,,
PF246091,1025 일공이오,2024.08.15,2024.10.26,55,"김린, 이지형, 오선혜, 권민지, 이하연, 최아라, 이다빈 등","이하연, 최경원, 김인성 등",1시간 10분,전체 관람가,필그림,"전석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF246091_240731_111502.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1200787'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010476')]",FC001535,엠스테이지(구.인사아트홀) (엠스테이지(구.인사아트홀)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246091_240731_1115020.jpg'],,,,,서울특별시 종로구 인사동길 34-1 (관훈동),02-2232-7952,https://www.samulnori.xyz/,,,,,,,,
PF245916,런던 레코드 [부산],2024.08.23,2024.12.31,121, ,김인성 등,1시간 30분,전체 관람가, ,"전석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245916_240729_112632.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1202552'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010597')]",FC001162,엠스테이지 [부산](구.한결아트홀) (엠스테이지 [부산](구.한결아트홀)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245916_240729_1126320.jpg'],,,,,부산광역시 연제구 월드컵대로 190 (거제동),00-1588-9155, ,,,,,,,,
PF245889,인어공주 [창원],2024.08.03,2024.09.29,28, , ,45분,전체 관람가, ,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245889_240729_101521.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1196262')]",FC002179,창원과학체험관 (다목적강당),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245889_240729_1015211.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245889_240729_1015210.png']",,,,,경상남도 창원시 성산구 충혼로72번길 16 (중앙동) ,055-267-2676,http://www.cwsc.go.kr/tnboard/,,,,,,,,
PF245875,미운아기오리 [여수],2024.08.03,2024.09.08,7, ,임우현,45분,24개월 이상,(주)상상플레이스 [여순광점],"전석 12,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245875_240726_174226.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1182749')]",FC003658,상상플레이스 여순광점(여수 웅천 트리마제벨마레 2305호) (상상플레이스 여순광점),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245875_240726_0542260.png'],,,,,전라남도 여수시 웅천로 83 (웅천동), , ,,,,,,,,
PF245791,어린왕자 [부산],2024.08.02,2024.09.01,0, , ,50분,36개월 이상,극단 바라,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245791_240726_094117.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/885672'), ('예스24', 'http://ticket.yes24.com/Perf/50481'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010674'), ('쿠팡', 'https://trip.coupang.com/tp/products/30000010035050'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77994'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5773')]",FC000255,초콜릿팩토리 (초콜릿팩토리),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245791_240726_0941170.jpg'],,,,,부산광역시 남구 수영로 298 (대연동),010-9071-1028,http://blog.naver.com/chocolate-factory,,,,,,,,
PF245687,늑대와 빨간모자 [부천],2024.08.01,2024.09.01,0,"현혜림, 최설아, 김민석",강민영,50분,전체 관람가,극단 천사의노래,"전석 18,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245687_240724_131540.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/794283')]",FC002478,뉴코아소극장 [부천] (뉴코아소극장 [부천]),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245687_240724_0115400.png'],,,,,경기도 부천시 송내대로 239 (상동),032-624-8120,https://nc123.modoo.at/,,,,,,,,
PF245679,말괄량이 삐삐 [광명],2024.08.15,2024.10.06,35, , ,50분,전체 관람가, ,"전석 16,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245679_240724_125650.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/634281')]",FC001130,소나무예술극장 (공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245679_240724_1256500.jpg'],,,,,경기도 광명시 하안로288번길 15 (하안동),02-893-6977,https://sonamookm.modoo.at/?link=b9iwnaja,,,,,,,,
PF245638,그리스 로마 신화: 신들의 왕 제우스 [부천],2024.08.31,2024.09.01,0, , ,1시간 5분,24개월 이상, ,"R석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245638_240724_100815.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1203801'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010441')]",FC000122,부천시민회관 (대공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245638_240724_1008150.jpg'],,,,,경기도 부천시 원미구 부일로 365 (중동),032-320-6300,http://www.bcf.or.kr/,,,,,,,,
PF245605,"헬로카봇 시즌8, 미래연구소를 지켜라! [전주]",2024.08.31,2024.09.01,0, , ,1시간 5분,24개월 이상,"(주)초이락컨텐츠컴퍼니, (주)하쿠나마타타","R석 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245605_240723_125213.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1202329'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010447'), ('타임티켓', 'https://timeticket.co.kr/?number=5834'), ('티켓링크', 'http://www.ticketlink.co.kr/product/51129')]",FC000477,한국소리문화의전당 (모악당),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245605_240723_1252130.jpg'],,,,,전라북도 전주시 덕진구 소리로 31 (덕진동1가) 소리문화전당,063-270-8000,http://www.sori21.co.kr/,,,,,,,,
PF245475,신데렐라 [수원],2024.08.17,2024.09.22,21, , ,50분,24개월 이상,마니마니,"전석 32,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245475_240722_132343.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/692036')]",FC002698,광교레이크아트홀 (광교레이크아트홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245475_240722_0123430.jpg'],,광교레이크아트홀,경기,수원시,"경기도 수원시 영통구 광교호수공원로 277 (원천동, 광교중흥에스클래스)",031-216-7179, ,,,,,,,,
PF245269,셰프 [서울],2024.07.30,2024.09.30,29, , ,1시간 15분,36개월 이상, ,"VIP석 70,000원, R석 60,000원, S석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245269_240819_130827.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/114948'), ('예스24', 'http://ticket.yes24.com/Perf/50492'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010103')]",FC002631,허리우드극장 (구. 모두의극장) (셰프전용관),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245269_240718_1049110.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245269_240718_1049562.jpg']",,,,,서울특별시 종로구 삼일대로 428 (낙원동),02-742-4231, ,,,,,,,,
PF245145,경종수정실록 [대학로],2024.08.20,2024.11.10,70,"주민진, 박규원, 유승현, 김지온, 박준휘, 홍기범, 강찬 등","이성진, 성종완, 김은영 등",1시간 50분,만 13세 이상,(주)뉴프로덕션,"R석 70,000원, S석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245145_240717_113737.gif,"[('나눔티켓', 'https://www.nanumticket.or.kr/pe/detail.html?p_marking=&p_new=&start2=0&page_no2=1&p_idx=12434'), ('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1210147'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010138')]",FC000382,티오엠씨어터(구. 문화공간필링) (1관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245145_240717_1137370.jpg'],16.8,,,,서울특별시 종로구 대학로8가길 85 (동숭동),00-1544-8303,http://www.towntom.com/,,,,,,,,
PF245054,금란방,2024.08.29,2024.09.28,27,"김건혜, 하은서, 박재은, 김백현, 최인형, 이한수, 송문선 등","박해림, 이진욱, 김태형 등",2시간,만 13세 이상,(재)서울예술단,"무대석 70,000원, R석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245054_240716_112821.gif,"[('국립극장', 'https://www.ntok.go.kr/kr/Ticket/Performance/Details?performanceId=266761'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009013'), ('클립서비스', 'https://www.clipservice.co.kr/Clipservice/Ticket/ShowDetail?playNum=77965')]",FC000003,국립극장 (하늘극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245054_240716_1128210.jpg'],,,,,서울특별시 중구 장충단로 59 (장충동2가),02-2280-4114,http://www.ntok.go.kr,,,,,,,,
PF244972,라푼젤 [인제],2024.09.01,2024.09.01,0, , ,55분,전체 관람가, ,"전석 19,800원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244972_240715_144925.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1192113'), ('인터파크', 'https://tickets.interpark.com/goods/24010214')]",FC000559,인제하늘내린센터 (대공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244972_240715_0249250.jpg'],,,,,강원도 인제군 인제읍 비봉로44번길 100,033-460-8900,http://www.injeart.or.kr/index.php,,,,,,,,
PF244959,아기돼지삼형제: 늑대숲 또옹돼지 원정대 [대학로],2024.07.20,2024.09.29,28, , ,1시간,24개월 이상,지니아트랩,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244959_240715_162353.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/153307'), ('예스24', 'http://ticket.yes24.com/Perf/50300'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009893'), ('쿠팡', 'https://trip.coupang.com/tp/products/30000000687074'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5481'), ('티켓링크', 'http://www.ticketlink.co.kr/product/50961')]",FC004018,라온씨어터 (라온씨어터),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244959_240715_0154583.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244959_240715_0154582.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244959_240715_0154581.jpg']",,,,,서울특별시 종로구 대학로10길 12 (동숭동) 3층, , ,,,,,,,,
PF244572,바다 100층짜리 집 [대전],2024.08.31,2024.09.01,0,"유소연, 박시연, 이온, 김용호, 김형진, 박명훈, 조혜지 등","정용석, 조재국, 엄윤기 등",1시간 05분,20개월 이상,아트큐브,"1층석 70,000원, 2층석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244572_240709_100113.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1193118'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009648')]",FC001667,한밭대학교 (아트홀(하모니홀)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244572_240709_1001130.jpg'],,,,,대전광역시 유성구 동서대로 125 (덕명동),042-821-1114,https://www.hanbat.ac.kr/cns/sub02_02.do,,,,,,,,
PF244566,프린세스 공주뮤지컬쇼 [전주],2024.09.01,2024.09.01,0, , ,1시간,24개월 이상, ,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244566_240709_094331.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1192846'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009687'), ('티켓링크', 'https://www.ticketlink.co.kr/product/50900')]",FC000939,덕진예술회관 (덕진예술회관),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244566_240709_0943310.jpg'],,,,,전라북도 전주시 덕진구 권삼득로 407 (덕진동2가),063-254-4354, ,,,,,,,,
PF244525,알사탕 [김해],2024.08.31,2024.09.01,0, ,"홍승희, 전수양, 장희선",1시간,24개월 이상,할리퀸크리에이션즈(주),"1층 동동이석 60,000원, 2층 구슬이석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244525_240708_141948.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009438')]",FC001890,김해서부문화센터 (하늬홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244525_240708_0219480.jpg'],,,,,경상남도 김해시 율하2로 210 (율하동),055-344-1824,http://www.wgcc.or.kr/main.do,,,,,,,,
PF244405,스텝: 춤추는 발자국,2024.04.22,2024.12.31,121,"이은혜, 정윤아, 양석진, 김동환, 김태연 등","오준석, 최용진, 정석봉 등",1시간 10분,전체 관람가, ,"VIP석 40,000원, R석 36,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244405_240705_105539.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1187903')]",FC000883,명보아트홀 (다온홀(B1F)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244405_240806_0534431.png'],,,,,서울특별시 중구 마른내로 47 (초동),02-2274-2121,https://www.facebook.com/myungboart,,,,,,,,
PF244366,정글북 [부산 동래],2024.09.01,2024.09.01,0, , ,55분,전체 관람가, ,"전석 24,800원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244366_240705_092109.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1189875'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009531')]",FC000164,동래문화회관 (대극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244366_240705_0921090.jpg'],,,,,부산광역시 동래구 문화로 80 (명륜동),051-550-6611,http://www.dongnae.go.kr/culture/index.dongnae?menuCd=DOM_000000605001000000,,,,,,,,
PF244233,설민석의 한국사 대모험: 영웅의 시간 [대전],2024.08.31,2024.09.01,0,설민석 등,"김종해, 강한별",1시간 10분,전체 관람가,(주)이에스생활문화 (ES생활문화),"R석 66,000원, S석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF244233_240703_101809.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1189549'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009390'), ('티켓링크', 'http://www.ticketlink.co.kr/product/50817')]",FC000323,대전평송청소년문화센터 (평송홀(대극장)),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF244233_240703_1018090.jpg'],,,,,대전광역시 서구 둔산대로 201 (만년동),042-480-1622,http://www.pyoungsong.com/,,,,,,,,
PF243956,빨강머리 토리: 토리의 수상한 가방 [수원],2024.07.17,2024.09.29,28, , ,50분,24개월 이상,극단 꿈의 공작소,"전석 25,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243956_240628_102135.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1183999'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009229')]",FC000926,KBS 수원아트홀 (KBS 수원아트홀),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243956_240628_1021350.jpg'],,KBS 수원아트홀,경기,수원시,경기도 수원시 팔달구 인계로 123 (인계동),031-216-5201,http://www.kbssuwonart.co.kr/,,,,,,,,
PF243924,"베베핀, 우당탕탕 패밀리 [고양]",2024.08.31,2024.09.01,0, ,"정을석, 양길모, 안진성 등",1시간 05분,24개월 이상,(주)애드칸,"VIP석 66,000원, R석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243924_240627_130048.gif,"[('고양문화재단(어울림누리)', 'http://www.artgy.or.kr/PF/PF0201V.aspx?showid=0000007536'), ('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1186190'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24008899'), ('티켓링크', 'http://www.ticketlink.co.kr/product/50733')]",FC000819,고양어울림누리 (어울림극장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243924_240627_0100480.jpg'],,고양어울림누리,경기,고양시,경기도 고양시 덕양구 어울림로 33 (성사동),00-1577-7766,http://www.artgy.or.kr/,,,,,,,,
PF243920,겁쟁이 빌리 [천안],2024.08.17,2024.09.01,0, , ,45분,24개월 이상,"EG엔터테인먼트(EG Ent.), 극단 크레파스","전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF243920_240627_122337.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1184064')]",FC002054,홈플러스 [천안신방점] (홈플러스 [천안신방점]),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF243920_240627_1223370.jpg'],,,,,충청남도 천안시 동남구 신촌1길 23 (신방동),041-552-2080,https://corporate.homeplus.co.kr/STORE/HyperMarket_view.aspx?sn=0171,,,,,,,,
